Domain queried,Query_Packet_Creation_s,Wait_for_Encrypted_Response_s,Response_Decryption_and_Verification_s,Total_Time_s
facebook.com,0.000562,0.359973,0.000449,0.360984
facebook.com,0.000567,0.377346,0.000435,0.378349
facebook.com,0.000498,0.247874,0.000424,0.248796
facebook.com,0.000597,0.330420,0.000493,0.331510
facebook.com,0.000615,0.224339,0.000382,0.225337
facebook.com,0.000558,0.234682,0.000426,0.235666
facebook.com,0.000532,0.318123,0.000434,0.319090
facebook.com,0.000509,0.323108,0.000482,0.324099
facebook.com,0.000608,0.314756,0.000478,0.315842
facebook.com,0.000611,0.246027,0.000380,0.247018
facebook.com,0.000491,0.223336,0.000422,0.224249
facebook.com,0.000540,0.317674,0.000424,0.318637
facebook.com,0.000600,0.242705,0.000499,0.243804
facebook.com,0.000609,0.360298,0.000441,0.361348
facebook.com,0.000564,0.238846,0.000454,0.239863
facebook.com,0.000459,0.243536,0.000432,0.244427
facebook.com,0.000571,0.355719,0.000435,0.356725
facebook.com,0.000488,0.341704,0.000433,0.342626
facebook.com,0.000547,0.235458,0.000490,0.236495
facebook.com,0.000616,0.379989,0.000427,0.381032
facebook.com,0.000616,0.346504,0.000432,0.347552
facebook.com,0.000613,0.231038,0.000423,0.232075
facebook.com,0.000524,0.236852,0.000454,0.237830
facebook.com,0.000574,0.324440,0.000437,0.325452
facebook.com,0.000574,0.245932,0.000422,0.246928
facebook.com,0.000568,0.224170,0.000432,0.225170
facebook.com,0.000568,0.315596,0.000486,0.316649
facebook.com,0.000451,0.334961,0.000489,0.335900
facebook.com,0.000605,0.244683,0.000469,0.245758
facebook.com,0.000620,0.242222,0.000452,0.243294
facebook.com,0.000563,0.334555,0.000425,0.335543
facebook.com,0.000574,0.243181,0.000478,0.244233
facebook.com,0.000588,0.241074,0.000428,0.242090
wikipedia.org,0.000611,0.244177,0.000586,0.245373
wikipedia.org,0.000635,0.242250,0.000476,0.243361
wikipedia.org,0.000589,0.244338,0.000430,0.245357
wikipedia.org,0.000579,0.314887,0.000452,0.315918
wikipedia.org,0.000569,0.242911,0.000481,0.243961
wikipedia.org,0.000588,0.247161,0.000431,0.248180
wikipedia.org,0.000504,0.234632,0.000504,0.235639
wikipedia.org,0.000604,0.246238,0.000433,0.247276
wikipedia.org,0.000596,0.227082,0.000452,0.228130
wikipedia.org,0.000535,0.313974,0.000477,0.314985
wikipedia.org,0.000609,0.227148,0.000431,0.228187
wikipedia.org,0.000611,0.227111,0.000427,0.228148
wikipedia.org,0.000565,0.259592,0.000456,0.260613
wikipedia.org,0.000573,0.246265,0.000406,0.247244
wikipedia.org,0.000590,0.250063,0.000412,0.251065
wikipedia.org,0.000566,0.241779,0.000427,0.242772
wikipedia.org,0.000576,0.312237,0.000432,0.313245
wikipedia.org,0.000594,0.316970,0.000432,0.317996
wikipedia.org,0.000600,0.225383,0.000457,0.226439
wikipedia.org,0.000605,0.232711,0.000448,0.233763
wikipedia.org,0.000611,0.242279,0.000425,0.243315
wikipedia.org,0.000493,0.242713,0.000383,0.243589
wikipedia.org,0.000614,0.315057,0.000437,0.316107
wikipedia.org,0.000570,0.233135,0.000467,0.234173
wikipedia.org,0.000603,0.244186,0.000435,0.245225
wikipedia.org,0.000599,0.308927,0.000431,0.309957
wikipedia.org,0.000578,0.317932,0.000457,0.318967
wikipedia.org,0.000568,0.243925,0.000487,0.244980
wikipedia.org,0.000618,0.236505,0.000465,0.237589
wikipedia.org,0.000608,0.255452,0.000456,0.256517
wikipedia.org,0.000557,0.251906,0.000509,0.252971
wikipedia.org,0.000555,0.244368,0.000458,0.245381
wikipedia.org,0.000675,0.245404,0.000475,0.246554
wikipedia.org,0.000652,0.276084,0.000509,0.277245
wikipedia.org,0.000689,0.230634,0.000538,0.231861
wikipedia.org,0.000684,0.235046,0.000441,0.236171
wikipedia.org,0.000651,0.243941,0.000479,0.245070
wikipedia.org,0.000589,0.225248,0.000411,0.226248
wikipedia.org,0.000552,0.318132,0.000475,0.319159
wikipedia.org,0.000608,0.244713,0.000472,0.245794
wikipedia.org,0.000593,0.238316,0.000411,0.239320
wikipedia.org,0.000449,0.227642,0.000408,0.228499
wikipedia.org,0.000612,0.224904,0.000411,0.225927
wikipedia.org,0.000461,0.244320,0.000437,0.245218
wikipedia.org,0.000549,0.256853,0.000417,0.257819
wikipedia.org,0.000546,0.226653,0.000434,0.227633
wikipedia.org,0.000551,0.241678,0.000414,0.242643
wikipedia.org,0.000553,0.236023,0.000441,0.237017
wikipedia.org,0.000518,0.239540,0.000427,0.240485
wikipedia.org,0.000494,0.311851,0.000430,0.312774
wikipedia.org,0.000561,0.223309,0.000450,0.224320
wikipedia.org,0.000571,0.243394,0.000457,0.244421
wikipedia.org,0.000571,0.241108,0.000430,0.242109
wikipedia.org,0.000456,0.236848,0.000496,0.237800
wikipedia.org,0.000605,0.242350,0.000441,0.243396
wikipedia.org,0.000564,0.238055,0.000488,0.239107
wikipedia.org,0.000615,0.241322,0.000455,0.242392
wikipedia.org,0.000572,0.236090,0.000432,0.237094
wikipedia.org,0.000489,0.318659,0.000498,0.319646
wikipedia.org,0.000621,0.241654,0.000490,0.242765
wikipedia.org,0.000620,0.344437,0.000472,0.345528
wikipedia.org,0.000455,0.253853,0.000428,0.254736
wikipedia.org,0.000478,0.240419,0.000434,0.241331
wikipedia.org,0.000609,0.243649,0.000486,0.244745
wikipedia.org,0.000597,0.241568,0.000497,0.242663
wikipedia.org,0.000612,0.250346,0.000451,0.251409
wikipedia.org,0.000567,0.236441,0.000434,0.237443
wikipedia.org,0.000620,0.222886,0.000427,0.223933
wikipedia.org,0.000541,0.243018,0.000452,0.244011
wikipedia.org,0.000582,0.237541,0.000493,0.238616
wikipedia.org,0.000643,0.248645,0.000534,0.249822
wikipedia.org,0.000687,0.237987,0.000508,0.239182
wikipedia.org,0.000635,0.252045,0.000479,0.253159
wikipedia.org,0.000669,0.221761,0.000440,0.222870
wikipedia.org,0.000684,0.314094,0.000459,0.315237
wikipedia.org,0.000657,0.238029,0.000511,0.239197
wikipedia.org,0.000638,0.251272,0.000496,0.252406
wikipedia.org,0.000677,0.250483,0.000564,0.251724
wikipedia.org,0.000796,0.238125,0.000533,0.239454
wikipedia.org,0.000672,0.240619,0.000438,0.241729
wikipedia.org,0.000625,0.313424,0.000471,0.314520
